"Longitude","Latitude","Date","State","Temp","CO","NO2","SO2","AtmPres"
-119.7462,36.17,"2014-07-09","California",24.62,0.26,5.89,0.64,967.01
-119.7462,36.17,"2014-07-10","California",23.58,0.26,5.33,0.55,967.21
-119.7462,36.17,"2014-07-11","California",23.07,0.25,5.16,0.49,968.82
-119.7462,36.17,"2014-07-12","California",23.98,0.25,4.89,0.37,970.2
-119.7462,36.17,"2014-07-13","California",26.04,0.26,5.14,0.53,968.06
-119.7462,36.17,"2014-07-14","California",25.74,0.27,7.6,0.6,967.87
-119.7462,36.17,"2014-07-15","California",25.01,0.26,5.73,0.56,971.44
-119.7462,36.17,"2014-07-16","California",23.87,0.25,4.82,0.47,973.46
-119.7462,36.17,"2014-07-17","California",22.91,0.25,4.55,0.45,973.29
-119.7462,36.17,"2014-07-18","California",23.03,0.25,5.16,0.4,973.05
-119.7462,36.17,"2014-07-19","California",23.44,0.25,5.27,0.46,972.39
-119.7462,36.17,"2014-07-20","California",23.43,0.25,3.99,0.43,972.59
-119.7462,36.17,"2014-07-21","California",23.43,0.25,5.12,0.44,974.54
-119.7462,36.17,"2014-07-22","California",24.29,0.26,6.28,0.5,975.33
-119.7462,36.17,"2014-07-23","California",25.13,0.27,7.02,0.49,976.66
-119.7462,36.17,"2014-07-24","California",26.47,0.28,8.78,0.64,968.64
-119.7462,36.17,"2014-07-25","California",26.26,0.27,8.09,0.64,968.08
-119.7462,36.17,"2014-07-26","California",26.29,0.27,6.61,0.59,969.43
-119.7462,36.17,"2014-07-27","California",26.32,0.26,5.59,0.53,970.29
-119.7462,36.17,"2014-07-28","California",25.71,0.26,7.32,0.51,971.81
-119.7462,36.17,"2014-07-29","California",26.43,0.27,8.86,0.56,970.27
-119.7462,36.17,"2014-07-30","California",26.52,0.28,8.94,0.7,968.5
-119.7462,36.17,"2014-07-31","California",26.57,0.27,8.55,0.61,966.91
-119.7462,36.17,"2014-08-01","California",26.74,0.27,8.21,0.57,967.28
-119.7462,36.17,"2014-08-02","California",25.13,0.27,6.96,0.39,967.9
-119.7462,36.17,"2014-08-03","California",22.26,0.27,5.6,0.35,968.68
-119.7462,36.17,"2014-08-04","California",22.69,0.26,6.88,0.42,968.68
-119.7462,36.17,"2014-08-05","California",22.96,0.26,8.02,0.47,973.32
-119.7462,36.17,"2014-08-06","California",22.96,0.27,7.25,0.49,973.23
-119.7462,36.17,"2014-08-07","California",23.43,0.26,6.67,0.39,972.33
-119.7462,36.17,"2014-08-08","California",23.99,0.27,6.83,0.39,971.4
-119.7462,36.17,"2014-08-09","California",24.02,0.27,5,0.32,972.18
-119.7462,36.17,"2014-08-10","California",24.13,0.26,4.86,0.35,972.82
-119.7462,36.17,"2014-08-11","California",24.34,0.27,7.33,0.46,972.47
-119.7462,36.17,"2014-08-12","California",24.05,0.26,6.56,0.46,972.4
-119.7462,36.17,"2014-08-13","California",23.49,0.25,6.1,0.37,970.25
-119.7462,36.17,"2014-08-14","California",23.95,0.26,7.11,0.36,966.37
-119.7462,36.17,"2014-09-02","California",23.92,0.28,7.06,0.48,968.02
-119.7462,36.17,"2014-09-03","California",22.93,0.27,6.73,0.52,966.24
-119.7462,36.17,"2014-09-04","California",22.98,0.27,7.26,0.51,961.59
-119.7462,36.17,"2014-09-05","California",22.58,0.28,8.5,0.46,965.41
-119.7462,36.17,"2014-09-06","California",23.49,0.3,7.69,0.52,966.47
-119.7462,36.17,"2014-09-07","California",24.44,0.3,6.5,0.49,965.25
-119.7462,36.17,"2014-09-08","California",23.09,0.28,8.13,0.48,965.97
-119.7462,36.17,"2014-09-09","California",22.37,0.29,9.07,0.51,968.02
-119.7462,36.17,"2014-09-10","California",22.81,0.33,12.16,0.79,969.99
-119.7462,36.17,"2014-09-11","California",24.22,0.33,12.18,0.91,966.5
-119.7462,36.17,"2014-09-12","California",25.19,0.33,12.12,0.77,965.55
-119.7462,36.17,"2014-09-13","California",25.96,0.33,9.98,0.65,964.59
-119.7462,36.17,"2014-09-14","California",26.06,0.32,8.08,0.61,964.44
-119.7462,36.17,"2014-09-15","California",26.83,0.33,9.81,0.63,965.42
-119.7462,36.17,"2014-09-16","California",25.65,0.31,10.52,0.56,964.61
-119.7462,36.17,"2014-09-17","California",25.4,0.3,8.32,0.53,963.43
-119.7462,36.17,"2014-09-18","California",22.81,0.26,5.68,0.43,965.29
-119.7462,36.17,"2014-09-19","California",22.06,0.27,6.49,0.44,966.47
-119.7462,36.17,"2014-09-20","California",21.94,0.27,5.75,0.43,967.63
-119.7462,36.17,"2014-09-21","California",20.88,0.26,4.58,0.39,969.28
-119.7462,36.17,"2014-09-22","California",21.53,0.29,8.64,0.51,968.64
-119.7462,36.17,"2014-09-23","California",22.29,0.31,10.06,0.49,968.05
